metric,min,median,mean,p95,p99,stddev,n,failed_reasons
voters,1000,1000,1000,1000,1000,0,10,
positions,3,3,3,3,3,0,10,
candidates,4,4,4,4,4,0,10,
gen_wall_ms,497,499,502.1,529,529,9.115,10,
gen_cpu_ms,6579,6623,6657.3,7031,7031,127.53,10,
proof_gen_cpu_ms,4054,4084,4113.2,4391,4391,94.178,10,
proof_verify_inproc_ms,4070,4134,4245,4746,4746,197.782,10,
aggregate_inproc_ms,4,4,4,4,4,0,10,
combine_inproc_ms,1,1,1,1,1,0,10,
decrypt_inproc_ms,0,0,0,0,0,0,10,
submit_window_ms,5926,6062,6052.3,6165,6165,78.288,10,
committed,3000,3000,3000,3000,3000,0,10,
dropped,0,0,0,0,0,0,10,
committed_tps,486.563,494.267,495.725,506.239,506.239,6.448,10,
driver_ceiling_tps,498.518,504.579,506.181,516.868,516.868,5.788,10,
latency_min_ms,68.128,76.373,77.249,89.612,89.612,6.352,10,
latency_p50_ms,185.734,190.226,189.68,192.57,192.57,2.156,10,
latency_mean_ms,187.768,191.473,191.382,194.838,194.838,2.36,10,
latency_p95_ms,230.952,237.276,237.919,244.652,244.652,5.199,10,
latency_p99_ms,246.774,252.825,260.787,287.537,287.537,14.254,10,
latency_stddev_ms,22.224,23.667,23.778,25.6,25.6,1.133,10,
peak_cpu_pct_client,0,0,0,0,0,0,10,
peak_mem_mb_client,29.711,29.961,31.236,34.461,34.461,2.063,10,
runs_measured,10,10,10,10,10,0,1,
runs_failed,0,0,0,0,0,0,1,
failure_rate,0,0,0,0,0,0,1,
